[  129154ms] [LOG] 🎉 DV Training Module - Interactive features loaded successfully! @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/assets/common/interactive.js:129
[  131765ms] [LOG] [AuthService] getToken() - token exists: true, token length: 327 @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  131766ms] [LOG] [AuthProvider] _loadUser() - hasToken: true @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  131770ms] [LOG] [AuthProvider] Loaded user from storage: surya.n@semiconos.ai @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  131770ms] [LOG] [AuthService] getToken() - token exists: true, token length: 327 @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  131772ms] [LOG] [ApiService] GET Request: /users/profile/me @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  131772ms] [LOG] [ApiService] Headers: {Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InN1cnlhLm5Ac2VtaWNvbm9zLmFpIiwic3ViIjo5NSwicm9sZSI6IkxlYXJuZXIiLCJvcmdJZCI6bnVsbCwidGVhbUlkIjpudWxsLCJhdmFpbGFibGVSb2xlcyI6W10sInNpZCI6ImI5NGVjYzQ3LTQ2MDItNDE5Zi1iMmY0LTViOTk1ODhhZjc2MSIsImlhdCI6MTc4NDc5OTY3MSwiZXhwIjoxNzg1NDA0NDcxfQ.XtqvvgxYi_43mtsjpbElbbWChpvHhFSh_eG6XYLo8oU} @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  131853ms] [LOG] [LearnerRouteChecker] Checking pending payment for user 95... @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  131869ms] [LOG] [AuthService] getToken() - token exists: true, token length: 327 @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  131870ms] [LOG] [ApiService] GET Request: /users/95/pending-payment @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  131870ms] [LOG] [ApiService] Headers: {Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InN1cnlhLm5Ac2VtaWNvbm9zLmFpIiwic3ViIjo5NSwicm9sZSI6IkxlYXJuZXIiLCJvcmdJZCI6bnVsbCwidGVhbUlkIjpudWxsLCJhdmFpbGFibGVSb2xlcyI6W10sInNpZCI6ImI5NGVjYzQ3LTQ2MDItNDE5Zi1iMmY0LTViOTk1ODhhZjc2MSIsImlhdCI6MTc4NDc5OTY3MSwiZXhwIjoxNzg1NDA0NDcxfQ.XtqvvgxYi_43mtsjpbElbbWChpvHhFSh_eG6XYLo8oU} @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  132148ms] [WARNING] [.WebGL-0x3ab405da7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/learner/home:0
[  132178ms] [WARNING] [.WebGL-0x3ab405da7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/learner/home:0
[  132212ms] [WARNING] [.WebGL-0x3ab405da7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/learner/home:0
[  132233ms] [WARNING] [.WebGL-0x3ab405da7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat) @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/learner/home:0
[  146868ms] [LOG] [LearnerRouteChecker] Error checking pending payment: TimeoutException after 0:00:15.000000: Future not completed @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  146870ms] [LOG] [LearnerRouteChecker] Checking enrollment status... @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
[  146871ms] [LOG] [AuthService] getToken() - token exists: true, token length: 327 @ http://semiconlab-staging-alb-124259420.ap-south-1.elb.amazonaws.com/main.dart.js:55772
